Mass,compounds,ElementalAssignment
200.0029458,unnamed,unassigned
200.0104348,unnamed,unassigned
200.0135588,lignin,CHONS
200.0160817,unnamed,unassigned
200.0427769,unnamed,unassigned
200.0547588,unnamed,unassigned
200.05648,lignin,CHON
200.0569116,unnamed,unassigned
200.0695023,unnamed,unassigned
200.071194,unnamed,unassigned
200.0769367,unnamed,unassigned
200.0790365,unnamed,unassigned
200.0826056,unnamed,unassigned
200.0885382,unnamed,unassigned
200.0897647,unnamed,unassigned
200.092811,protein,CHON
200.1158454,unnamed,unassigned
200.12453,unnamed,unassigned
200.1291918,lipid,CHON
200.1318878,unnamed,unassigned
200.1355587,unnamed,unassigned
200.1423571,unnamed,unassigned
200.1497355,unnamed,unassigned
200.1566529,unnamed,unassigned
200.1725899,unnamed,unassigned
200.1734335,unnamed,unassigned
200.1737022,unnamed,unassigned
200.1815754,unnamed,unassigned
200.1844943,unnamed,unassigned
200.2013253,unnamed,unassigned
200.213483,unnamed,unassigned
200.2255993,unnamed,unassigned
200.2326967,unnamed,unassigned
200.2545039,unnamed,unassigned
200.2586503,unnamed,unassigned
200.2734434,unnamed,unassigned
200.2919525,unnamed,unassigned
200.3001386,unnamed,unassigned
200.3030941,unnamed,unassigned
200.3266905,unnamed,unassigned
200.347591,unnamed,unassigned
200.3567215,unnamed,unassigned
200.3889342,unnamed,unassigned
200.396433,unnamed,unassigned
200.4129978,unnamed,unassigned
200.4237554,unnamed,unassigned
200.4642485,unnamed,unassigned
200.4883591,unnamed,unassigned
200.493722,unnamed,unassigned
200.4965362,unnamed,unassigned
200.4978309,unnamed,unassigned
200.5077607,unnamed,unassigned
200.5108472,unnamed,unassigned
200.5484616,unnamed,unassigned
200.5710647,unnamed,unassigned
200.5713898,unnamed,unassigned
200.5793898,unnamed,unassigned
200.5809922,unnamed,unassigned
200.6067385,unnamed,unassigned
200.6273372,unnamed,unassigned
200.6525365,unnamed,unassigned
200.672856,unnamed,unassigned
200.7084103,unnamed,unassigned
200.7124591,unnamed,unassigned
200.7405528,unnamed,unassigned
200.7439391,unnamed,unassigned
200.7501078,unnamed,unassigned
200.7768337,unnamed,unassigned
200.7793596,unnamed,unassigned
200.7837215,unnamed,unassigned
200.7844445,unnamed,unassigned
200.8047893,unnamed,unassigned
200.8052418,unnamed,unassigned
200.8054401,unnamed,unassigned
200.8168795,unnamed,unassigned
200.8344928,unnamed,unassigned
200.8352634,unnamed,unassigned
200.8597685,unnamed,unassigned
200.8744235,unnamed,unassigned
200.8756503,unnamed,unassigned
200.9196382,unnamed,unassigned
200.9216751,unnamed,unassigned
200.9220992,unnamed,unassigned
200.9261798,unnamed,unassigned
200.9378871,unnamed,unassigned
200.9379866,unnamed,unassigned
200.9414518,unnamed,unassigned
200.9429814,unnamed,unassigned
200.9433301,condHC,CHONS
200.9482873,unnamed,unassigned
200.9573697,unnamed,unassigned
200.9633457,unnamed,unassigned
200.984297,unnamed,unassigned
200.9862091,tannin,CHOS
200.986318,tannin,CHOS
200.9892186,unnamed,unassigned
