"FTICR_ID","Core","Suction","Moisture","Wetting","Amendments","Homogenization","Assignment"
"LIntCal_0_80",1,1.5,"fm","precip","control","Homogenized","1.5-fm-precip-control-Homogenized"
"LIntCal_0_85",1,15,"fm","precip","control","Homogenized","15-fm-precip-control-Homogenized"
"LIntCal_0_18",1,1.5,"fm","precip","control","Intact","1.5-fm-precip-control-Intact"
"LIntCal_0_34",1,15,"fm","precip","control","Intact","15-fm-precip-control-Intact"
"LIntCal_0_7",1,50,"fm","precip","control","Intact","50-fm-precip-control-Intact"
"LIntCal_0_284",10,15,"drought","precip","C","Homogenized","15-drought-precip-C-Homogenized"
"LIntCal_0_160",10,50,"drought","precip","C","Homogenized","50-drought-precip-C-Homogenized"
"LIntCal_0_232",10,1.5,"drought","precip","C","Intact","1.5-drought-precip-C-Intact"
"LIntCal_0_220",10,15,"drought","precip","C","Intact","15-drought-precip-C-Intact"
"LIntCal_0_231",10,50,"drought","precip","C","Intact","50-drought-precip-C-Intact"
"LIntCal_0_130",12,1.5,"fm","precip","N","Homogenized","1.5-fm-precip-N-Homogenized"
"LIntCal_0_76",12,15,"fm","precip","N","Homogenized","15-fm-precip-N-Homogenized"
"LIntCal_0_124",12,50,"fm","precip","N","Homogenized","50-fm-precip-N-Homogenized"
"LIntCal_0_5",12,1.5,"fm","precip","N","Intact","1.5-fm-precip-N-Intact"
"LIntCal_0_43",12,15,"fm","precip","N","Intact","15-fm-precip-N-Intact"
"LIntCal_0_9",12,50,"fm","precip","N","Intact","50-fm-precip-N-Intact"
"LIntCal_0_86",13,1.5,"fm","groundw","N","Homogenized","1.5-fm-groundw-N-Homogenized"
"LIntCal_0_109",13,15,"fm","groundw","N","Homogenized","15-fm-groundw-N-Homogenized"
"LIntCal_0_98",13,50,"fm","groundw","N","Homogenized","50-fm-groundw-N-Homogenized"
"LIntCal_0_61",13,1.5,"fm","groundw","N","Intact","1.5-fm-groundw-N-Intact"
"LIntCal_0_28",13,15,"fm","groundw","N","Intact","15-fm-groundw-N-Intact"
"LIntCal_0_53",13,50,"fm","groundw","N","Intact","50-fm-groundw-N-Intact"
"LIntCal_0_261",14,1.5,"drought","precip","control","Homogenized","1.5-drought-precip-control-Homogenized"
"LIntCal_0_285",14,50,"drought","precip","control","Homogenized","50-drought-precip-control-Homogenized"
"LIntCal_0_187",14,1.5,"drought","precip","control","Intact","1.5-drought-precip-control-Intact"
"LIntCal_0_257",14,15,"drought","precip","control","Intact","15-drought-precip-control-Intact"
"LIntCal_0_188",14,50,"drought","precip","control","Intact","50-drought-precip-control-Intact"
"LIntCal_0_223",15,15,"drought","groundw","control","Homogenized","15-drought-groundw-control-Homogenized"
"LIntCal_0_202",15,50,"drought","groundw","control","Homogenized","50-drought-groundw-control-Homogenized"
"LIntCal_0_212",15,1.5,"drought","groundw","control","Intact","1.5-drought-groundw-control-Intact"
"LIntCal_0_267",15,15,"drought","groundw","control","Intact","15-drought-groundw-control-Intact"
"LIntCal_0_237",15,50,"drought","groundw","control","Intact","50-drought-groundw-control-Intact"
"LIntCal_0_225",17,1.5,"drought","precip","control","Homogenized","1.5-drought-precip-control-Homogenized"
"LIntCal_0_227",17,15,"drought","precip","control","Homogenized","15-drought-precip-control-Homogenized"
"LIntCal_0_265",17,50,"drought","precip","control","Homogenized","50-drought-precip-control-Homogenized"
"LIntCal_0_192",17,1.5,"drought","precip","control","Intact","1.5-drought-precip-control-Intact"
"LIntCal_0_180",17,15,"drought","precip","control","Intact","15-drought-precip-control-Intact"
"LIntCal_0_205",17,50,"drought","precip","control","Intact","50-drought-precip-control-Intact"
"LIntCal_0_114",18,1.5,"fm","precip","control","Homogenized","1.5-fm-precip-control-Homogenized"
"LIntCal_0_119",18,15,"fm","precip","control","Homogenized","15-fm-precip-control-Homogenized"
"LIntCal_0_126",18,50,"fm","precip","control","Homogenized","50-fm-precip-control-Homogenized"
"LIntCal_0_72",18,1.5,"fm","precip","control","Intact","1.5-fm-precip-control-Intact"
"LIntCal_0_68",18,15,"fm","precip","control","Intact","15-fm-precip-control-Intact"
"LIntCal_0_57",18,50,"fm","precip","control","Intact","50-fm-precip-control-Intact"
"LIntCal_0_133",19,1.5,"fm","precip","C","Homogenized","1.5-fm-precip-C-Homogenized"
"LIntCal_0_79",19,15,"fm","precip","C","Homogenized","15-fm-precip-C-Homogenized"
"LIntCal_0_138",19,50,"fm","precip","C","Homogenized","50-fm-precip-C-Homogenized"
"LIntCal_0_16",19,1.5,"fm","precip","C","Intact","1.5-fm-precip-C-Intact"
"LIntCal_0_6",19,15,"fm","precip","C","Intact","15-fm-precip-C-Intact"
"LIntCal_0_10",19,50,"fm","precip","C","Intact","50-fm-precip-C-Intact"
"LIntCal_0_172",20,1.5,"drought","groundw","C","Homogenized","1.5-drought-groundw-C-Homogenized"
"LIntCal_0_222",20,15,"drought","groundw","C","Homogenized","15-drought-groundw-C-Homogenized"
"LIntCal_0_240",20,50,"drought","groundw","C","Homogenized","50-drought-groundw-C-Homogenized"
"LIntCal_0_235",20,1.5,"drought","groundw","C","Intact","1.5-drought-groundw-C-Intact"
"LIntCal_0_281",20,15,"drought","groundw","C","Intact","15-drought-groundw-C-Intact"
"LIntCal_0_226",20,50,"drought","groundw","C","Intact","50-drought-groundw-C-Intact"
"LIntCal_0_108",22,1.5,"fm","groundw","C","Homogenized","1.5-fm-groundw-C-Homogenized"
"LIntCal_0_135",22,15,"fm","groundw","C","Homogenized","15-fm-groundw-C-Homogenized"
"LIntCal_0_140",22,50,"fm","groundw","C","Homogenized","50-fm-groundw-C-Homogenized"
"LIntCal_0_69",22,1.5,"fm","groundw","C","Intact","1.5-fm-groundw-C-Intact"
"LIntCal_0_51",22,15,"fm","groundw","C","Intact","15-fm-groundw-C-Intact"
