"Core","SampleAssignment","Moisture","Wetting","Suction","Homogenization","Amendments","class","abund","total","relabund"
1,"1.5-fm-precip-control-Homogenized","fm","precip",1.5,"Homogenized","control","aliphatic",695,1959,35.48
1,"1.5-fm-precip-control-Homogenized","fm","precip",1.5,"Homogenized","control","aromatic",183,1959,9.34
1,"1.5-fm-precip-control-Homogenized","fm","precip",1.5,"Homogenized","control","condensed_arom",291,1959,14.85
1,"1.5-fm-precip-control-Homogenized","fm","precip",1.5,"Homogenized","control","unsaturated/lignin",790,1959,40.33
1,"1.5-fm-precip-control-Intact","fm","precip",1.5,"Intact","control","aliphatic",147,330,44.55
1,"1.5-fm-precip-control-Intact","fm","precip",1.5,"Intact","control","aromatic",6,330,1.82
1,"1.5-fm-precip-control-Intact","fm","precip",1.5,"Intact","control","condensed_arom",30,330,9.09
1,"1.5-fm-precip-control-Intact","fm","precip",1.5,"Intact","control","unsaturated/lignin",147,330,44.55
1,"50-fm-precip-control-Intact","fm","precip",50,"Intact","control","aliphatic",132,501,26.35
1,"50-fm-precip-control-Intact","fm","precip",50,"Intact","control","aromatic",47,501,9.38
1,"50-fm-precip-control-Intact","fm","precip",50,"Intact","control","condensed_arom",93,501,18.56
1,"50-fm-precip-control-Intact","fm","precip",50,"Intact","control","unsaturated/lignin",229,501,45.71
3,"1.5-fm-precip-C-Homogenized","fm","precip",1.5,"Homogenized","C","aliphatic",78,153,50.98
3,"1.5-fm-precip-C-Homogenized","fm","precip",1.5,"Homogenized","C","aromatic",7,153,4.58
3,"1.5-fm-precip-C-Homogenized","fm","precip",1.5,"Homogenized","C","condensed_arom",23,153,15.03
3,"1.5-fm-precip-C-Homogenized","fm","precip",1.5,"Homogenized","C","unsaturated/lignin",45,153,29.41
3,"1.5-fm-precip-C-Intact","fm","precip",1.5,"Intact","C","aliphatic",218,760,28.68
3,"1.5-fm-precip-C-Intact","fm","precip",1.5,"Intact","C","aromatic",21,760,2.76
3,"1.5-fm-precip-C-Intact","fm","precip",1.5,"Intact","C","condensed_arom",147,760,19.34
3,"1.5-fm-precip-C-Intact","fm","precip",1.5,"Intact","C","unsaturated/lignin",374,760,49.21
